Date,Open,High,Low,Close,Adj Close,Volume,Open-Google,Volume-Google,Open-IBM,Volume-IBM,Open-Shell Oil,Volume-Shell Oil,Open-General Motors,Volume-General Motors
6/5/2019,7704.343262,7901.849121,7668.668457,7824.231445,7824.231445,21760923463,1055,2349400,133.380005,3161300,64.419998,1038800,36.040001,9605600
6/6/2019,7819.633301,7937.34082,7571.471191,7822.023438,7822.023438,19474611077,1046.209961,1451000,132.190002,2298200,64.400002,853500,35.09,9749200
6/7/2019,7826.901367,8126.15332,7788.373535,8043.951172,8043.951172,19141423230,1054.280029,2191400,132.470001,2553400,65.110001,1448900,35.310001,6561000
6/8/2019,8036.774902,8076.891113,7837.61084,7954.12793,7954.12793,16522722809,NA,NA,NA,NA,NA,NA,NA,NA
6/9/2019,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547,NA,NA,NA,NA,NA,NA,NA,NA
6/10/2019,7692.284668,8031.909668,7586.730957,8000.32959,8000.32959,18689275117,1077,1425500,134.380005,2911300,65.440002,1216100,36.130001,8498000
6/11/2019,8004.243652,8026.394043,7772.803711,7927.714355,7927.714355,17107279931,1096.98999,1675400,135.320007,3407300,65.980003,1747000,36.360001,4652000
6/12/2019,7925.434082,8196.648438,7862.359863,8145.857422,8145.857422,19034432883,1079.949951,1183500,135.559998,2254700,64.919998,1029300,36.259998,5508100
6/13/2019,8145.54541,8311.567383,8087.061035,8230.923828,8230.923828,18669407147,1084.709961,1040700,135.130005,2955300,64.699997,1032100,35.630001,3917300
6/14/2019,8230.898438,8710.636719,8183.393066,8693.833008,8693.833008,19831162905,1089.73999,1229100,135.440002,2193300,64.25,857800,35.880001,4953400
6/15/2019,8689.746094,8859.12793,8618.395508,8838.375,8838.375,18371033226,NA,NA,NA,NA,NA,NA,NA,NA
6/16/2019,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550310,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2019,8988.923828,9416.407227,8988.923828,9320.352539,9320.352539,15562951918,1089.099976,988500,135.389999,2194100,63.540001,854800,35.560001,5454900
6/18/2019,9335.466797,9348.374023,9004.901367,9081.762695,9081.762695,15848210535,1111.5,1726300,135.199997,2914700,64.470001,1202900,36.380001,8226900
6/19/2019,9078.727539,9299.621094,9070.395508,9273.521484,9273.521484,15546809946,1107.23999,1335700,136.429993,2382400,65.019997,1297700,37,10884800
6/20/2019,9273.060547,9594.419922,9232.484375,9527.160156,9527.160156,17846823783,1121.699951,1200900,138.929993,3071000,66.370003,1451800,37.150002,8639700
6/21/2019,9525.074219,10144.55664,9525.074219,10144.55664,10144.55664,20624008643,1109.859985,2538700,138.440002,5288700,66.709999,1121500,36.959999,13004600
6/22/2019,10175.92383,11157.3457,10107.03516,10701.69141,10701.69141,29995204860,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2019,10696.69141,11246.14453,10556.0957,10855.37109,10855.37109,20998326501,NA,NA,NA,NA,NA,NA,NA,NA
6/24/2019,10853.74414,11065.89648,10610.42773,11011.10254,11011.10254,19271652364,1120,1211800,139.199997,2186000,66.760002,919300,36.830002,7449000
6/25/2019,11007.20215,11790.91699,11007.20215,11790.91699,11790.91699,24879684533,1115.079956,1582200,139.460007,2801200,66.970001,1183600,37.060001,12930500
6/26/2019,11778.58106,13796.48926,11755.59766,13016.23145,13016.23145,45105733173,1091,1734900,138.869995,2284600,67.220001,1054100,37.82,11911400
